p1,p2,p3,p4,p5,p6,p7,π1,p*
0.5989759114,0.7379837354,0.9733856811,0.8397035225,0.6470670353,0.8280190241,0.8093153694,0.5272612233,2.5272612233
0.8120507633,0.8829440243,0.8691307024,0.9027569877,0.6018263930,0.6333594128,0.9045961355,0.6414521916,2.6414521916
0.8201444696,0.7813698295,0.6304253263,0.5064554090,0.5394552084,0.8693218164,0.7206271813,0.2131209502,2.2131209502
0.6353513740,0.6058577876,0.5604805709,0.7506463428,0.6903493278,0.9441648313,0.9390121135,0.1946700046,2.1946700046
0.5649088917,0.9592256758,0.6990813756,0.9370514822,0.9993362871,0.7487228701,0.8510378958,0.4522169708,2.4522169708
0.7363615584,0.5947652863,0.7413218076,0.7656483472,0.6545620700,0.5234482171,0.5687541180,0.3972913676,2.3972913676
0.6953132384,0.6183560387,0.8646568438,0.9204067747,0.5284535962,0.5108908390,0.7893442727,0.5295388061,2.5295388061
0.7025400579,0.5705243169,0.5531624533,0.7120728356,0.9728075391,0.7777688979,0.8352562170,0.2282039019,2.2282039019
0.6880745204,0.5949180905,0.9161312726,0.6095549034,0.5045395713,0.7960930942,0.7053169433,0.3502301885,2.3502301885
0.6460873739,0.8501833635,0.8326674380,0.7308646323,0.5164139020,0.6478075319,0.5481109749,0.4251103485,2.4251103485
0.7764412951,0.7836112476,0.6388086074,0.5016171439,0.6640474314,0.6218241870,0.6965957500,0.2561451137,2.2561451137
0.7155928058,0.8585322386,0.5241270267,0.7361506649,0.5875838422,0.9202542341,0.9714336522,0.2055181000,2.2055181000
0.8918808144,0.5837171387,0.6813624105,0.6958085508,0.8993755311,0.7639606529,0.5879496835,0.3451294774,2.3451294774
0.8503865985,0.7395466467,0.8025584340,0.5108419582,0.7276988550,0.9343376070,0.9567389139,0.3305553538,2.3305553538
0.8882047282,0.9223146469,0.8227142674,0.6858657579,0.6092248391,0.8130912066,0.6133120269,0.4733770319,2.4733770319
0.6439147728,0.7761527520,0.5960041222,0.9964040762,0.6236659419,0.8826971043,0.5385387206,0.2905403186,2.2905403186
0.6051572726,0.9372674747,0.9480687002,0.8289802473,0.8096544856,0.6952429619,0.5566889105,0.6457642825,2.6457642825
0.7520567617,0.5220125397,0.9253014711,0.6121858752,0.9243491157,0.9679267864,0.7450618994,0.4016709648,2.4016709648
0.5665625670,0.6431302440,0.8731669920,0.6435021378,0.9609838482,0.6703341887,0.7176062008,0.4196834594,2.4196834594
0.5856819340,0.6526699606,0.5901369621,0.7238382408,0.6986120747,0.8092433336,0.9571762679,0.2161537747,2.2161537747
0.6227321090,0.9287148548,0.5913673391,0.8219785644,0.5622099275,0.6168187016,0.6826083462,0.2946384173,2.2946384173
0.5213317707,0.8633517922,0.8209134895,0.7161488498,0.9735101316,0.5778783114,0.7993246730,0.4772062245,2.4772062245
0.6131934272,0.6760977679,0.8446542002,0.5234950355,0.8702054766,0.9804869096,0.8136655317,0.3069849352,2.3069849352
0.8128660605,0.7140674916,0.7573526780,0.9677796013,0.8213842328,0.7635457286,0.8236633499,0.5163885195,2.5163885195
0.8171615168,0.9166922032,0.8972264646,0.7747244335,0.7101369610,0.9136296428,0.6770999504,0.5657268835,2.5657268835
0.7664698387,0.5458865586,0.8034425819,0.7827384383,0.6813736566,0.5491293727,0.6443723609,0.4462107014,2.4462107014
0.8676927742,0.5972124719,0.8900890292,0.9058989145,0.7381518687,0.7150886998,0.7174716416,0.5954522161,2.5954522161
0.9075827946,0.6433353315,0.5778859425,0.7471999912,0.5890320144,0.6602630328,0.6830098462,0.2733029211,2.2733029211
0.6874280884,0.7796652874,0.5159619214,0.8436542624,0.8545375235,0.6760408733,0.5867482044,0.2650838727,2.2650838727
0.9024612546,0.5851402147,0.6976677296,0.8569120584,0.7402434227,0.8612050860,0.9658129301,0.3737336199,2.3737336199
0.9398247000,0.5991175563,0.8910439444,0.7027992153,0.6498235800,0.6811924491,0.9989460017,0.5073829359,2.5073829359
0.7934446209,0.9586332614,0.5793735898,0.9923578211,0.5820012087,0.7241809729,0.9202737560,0.3577318964,2.3577318964
0.8279236767,0.5416348208,0.8115961781,0.7887357049,0.6662253399,0.8806570392,0.5953407125,0.3915670169,2.3915670169
