lgπ1,lgπ2,lgπ3,p*
-0.1565726780,-0.1005588498,-0.0794640969,0.9036380772
-0.2861551526,-0.1761246395,-0.1907095552,0.8413214217
-0.0859476662,-0.0857295403,-0.0072143637,0.9396330388
-0.2485451369,-0.3552806174,-0.3754484016,0.8126151434
-0.0666037595,-0.0407856932,-0.1347173075,0.9717846721
-0.1639602633,-0.1221157695,-0.1226888730,0.8929658664
-0.0477346591,-0.0630529985,-0.0864398027,0.9699634044
-0.0729728087,-0.0120540966,-0.0860436499,0.9841319934
-0.1113044268,-0.0828285350,-0.0748970116,0.9294779755
-0.1065031729,-0.1806682396,-0.1152002935,0.8925757872
-0.3630568503,-0.2810015966,-0.2440745416,0.8060233444
-0.2615434464,-0.1571704179,-0.3000763278,0.8522118233
-0.1975827704,-0.1343804954,-0.1161525887,0.8774389257
-0.1032669557,-0.0836104860,-0.0360904317,0.9327018643
-0.0841744623,-0.0175645191,-0.0065338069,0.9748447691
-0.2765634668,-0.3037136643,-0.2568237531,0.8167663941
-0.3207538158,-0.2988504199,-0.2183719496,0.8099569550
-0.1103214074,-0.1432350109,-0.1096988479,0.9050063046
-0.2158359859,-0.0939581600,-0.2107299793,0.8847356606
-0.1790611342,-0.0059443485,-0.0665259318,0.9335424208
-0.2778082167,-0.2727719922,-0.2503774940,0.8223328536
-0.2056081142,-0.1589415827,-0.1361718173,0.8673674325
-0.1700583128,-0.1103432848,-0.1739551393,0.8950024328
-0.2480059456,-0.2524112535,-0.2646629274,0.8326447359
-0.2989998502,-0.2970533483,-0.2066594761,0.8139605138
-0.1878062410,-0.1831149800,-0.2338088452,0.8654849825
-0.1527737953,-0.2368852838,-0.1174546958,0.8601063093
-0.1059734967,-0.1277225958,-0.1357597634,0.9128155600
-0.2499381151,-0.1957587511,-0.2489764801,0.8453385055
-0.0405158423,-0.0583134121,-0.1064508910,0.9764361737
-0.1245444576,-0.1804883777,-0.1223545868,0.8863519789
-0.1329848914,-0.1529965301,-0.1508145789,0.8929996048
-0.3009061505,-0.2732343004,-0.2043400287,0.8178856773
-0.2574808860,-0.1821330159,-0.2253004528,0.8468509349
-0.1055031002,-0.1246940748,-0.1219018390,0.9142287480
-0.1582851552,-0.2635010559,-0.1595345486,0.8514074961
-0.1157475904,-0.0801791059,-0.0742823110,0.9286892237
-0.0540859362,-0.1022105215,-0.0745621356,0.9468978614
-0.1896338118,-0.0697294812,-0.1572294523,0.9027896526
-0.1020596761,-0.0319966827,-0.0633511851,0.9578681849
-0.2837413953,-0.1885176060,-0.2413096062,0.8389769341
-0.2591870854,-0.2263328826,-0.3010282160,0.8359436419
-0.1899130531,-0.1464280542,-0.0931870767,0.8760415236
-0.1308227971,-0.0727446205,-0.0294495040,0.9253656557
-0.2122901499,-0.1430554601,-0.1227326570,0.8701359856
-0.1813955314,-0.1347016409,-0.1630252015,0.8826230525
